,name,github_id,category,group,group_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,github_release_downloads,monthly_downloads,resource,updated_github_id,pypi_id,pypi_url
0,fastui,pydantic/FastUI,related-projects,True,pydantic/fastui,,https://github.com/pydantic/FastUI,https://github.com/pydantic/FastUI,MIT,2023-09-18 08:12:00,2025-11-01 04:04:13,2025-10-28 08:51:24,166.0,2.0,335.0,66.0,156.0,119.0,109.0,8924.0,2025-10-28 08:57:08,0.9.0,9.0,Build better UIs faster.,244.0,244.0,32.0,24,True,1.0,-1.0,,,,,,
1,dominate,Knio/dominate,html-generation,True,knio/dominate,,https://github.com/Knio/dominate,https://github.com/Knio/dominate,LGPL-3.0,2009-05-14 05:42:39,2024-12-31 03:28:50,2024-12-31 03:04:59,563.0,,118.0,50.0,63.0,14.0,139.0,1810.0,2023-12-24 20:46:05,2.9.1,13.0,Dominate is a Python library for creating and manipulating HTML documents using an elegant DOM API. It allows you to..,59402.0,59402.0,36.0,23,True,1.0,,,,,,,
2,domonic,byteface/domonic,html-generation,True,byteface/domonic,,https://github.com/byteface/domonic,https://github.com/byteface/domonic,MIT,2020-06-15 12:43:29,2025-04-11 22:07:46,2024-12-08 21:44:44,538.0,,15.0,7.0,31.0,24.0,16.0,143.0,2024-12-08 01:07:55,0.9.13,100.0,Create HTML with python 3 using a standard DOM API. Includes a python port of JavaScript for interoperability and tons..,53.0,53.0,14.0,14,True,1.0,,,,,,,
3,markyp,volfpeter/markyp,html-generation,True,volfpeter/markyp,,https://github.com/volfpeter/markyp,https://github.com/volfpeter/markyp,MIT,2019-03-09 20:24:00,2025-05-05 13:14:28,2025-05-05 13:14:24,271.0,,1.0,6.0,36.0,,7.0,40.0,2023-06-30 15:11:36,0.2307.0,19.0,Python 3 tools for creating markup documents.,35.0,19.0,8.0,11,False,2.0,,52.0,0.0,,,,
4,Why Kotlin Is The Best Language (to use with htmx) - YouTube,,others,,,,,https://www.youtube.com/watch?v=zJNkIJCQohU,,,,,,,,,,,,,,,,,,,,0,True,,,,,True,,,
5,lxml,lxml/lxml,html-generation,,,,https://github.com/lxml/lxml,https://github.com/lxml/lxml,BSD-3-Clause,2011-02-11 05:43:11,2025-12-08 21:01:55,2025-12-06 22:32:13,6779.0,100.0,584.0,81.0,426.0,,,2957.0,2025-09-21 23:14:10,lxml-6.0.2,35.0,The lxml XML toolkit for Python.,593033.0,593033.0,172.0,33,True,1.0,,10463.0,213.0,,,,
6,wtforms,pallets-eco/wtforms,html-form-generation,,,,https://github.com/pallets-eco/wtforms,https://github.com/pallets-eco/wtforms,BSD-3-Clause,2013-09-11 01:53:07,2025-08-22 07:32:36,2025-08-22 07:32:36,1738.0,,397.0,45.0,408.0,62.0,409.0,1565.0,2024-10-21 11:36:34,3.2.1,12.0,A flexible forms validation and rendering library for Python.,258024.0,258024.0,167.0,28,True,1.0,,38.0,0.0,,,,
7,deform,Pylons/deform,html-form-generation,,,,https://github.com/Pylons/deform,https://github.com/Pylons/deform,,2011-02-16 06:29:46,2025-10-06 07:10:16,2025-09-18 19:52:46,1644.0,1.0,161.0,32.0,352.0,40.0,141.0,421.0,2020-12-15 23:27:03,2.0.15,7.0,A Python HTML form library.,842.0,842.0,102.0,20,False,2.0,,,,,,,
8,htpy,pelme/htpy,html-generation,,,,https://github.com/pelme/htpy,https://github.com/pelme/htpy,MIT,2023-10-19 13:33:59,2025-12-07 20:43:56,2025-12-07 20:42:15,375.0,12.0,26.0,14.0,109.0,5.0,35.0,409.0,2025-12-01 20:34:25,25.12.0,20.0,Generate HTML in Python.,60.0,60.0,17.0,20,True,1.0,1.0,,,,,,
9,ludic,paveldedik/ludic,html-generation,,,,https://github.com/getludic/ludic,https://github.com/getludic/ludic,MIT,2024-03-08 06:31:45,2025-11-24 20:26:00,2025-11-06 14:26:15,214.0,5.0,19.0,8.0,94.0,18.0,12.0,875.0,2025-11-06 14:29:50,1.0.0,46.0,A type-safe HTML template engine for Python. Build dynamic web pages using Python components with a React-like approach.,15.0,15.0,9.0,17,True,1.0,,446.0,21.0,,getludic/ludic,,
10,TemPy,Hrabal/TemPy,html-generation,,,,https://github.com/Hrabal/TemPy,https://github.com/Hrabal/TemPy,Apache-2.0,2017-05-30 17:08:40,2022-07-18 15:42:44,2022-07-18 15:42:44,686.0,,65.0,9.0,66.0,,43.0,143.0,2022-05-29 10:43:03,1.5.3,11.0,Python Object Oriented Html Templating System.,12.0,12.0,41.0,16,False,1.0,,,,,,,
11,yattag,leforestier/yattag,html-generation,,,,https://github.com/leforestier/yattag,https://github.com/leforestier/yattag,,2014-04-04 11:49:54,2024-11-02 22:36:21,2024-11-02 22:35:26,149.0,,32.0,13.0,25.0,4.0,55.0,349.0,,,,"Python library to generate HTML or XML in a readable, concise and pythonic way.",2037.0,2037.0,13.0,15,False,1.0,,,,,,,
