,name,github_id,category,group,group_id,labels,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,projectrank_placing,resource,pypi_id,pypi_url,pypi_monthly_downloads,monthly_downloads
0,dominate,Knio/dominate,html-generation,True,knio/dominate,,{},59636.0,59636.0,36.0,,8,False,1.0,,,,,
1,markyp,volfpeter/markyp,html-generation,True,volfpeter/markyp,,{},43.0,19.0,8.0,,3,False,2.0,,,,,
2,domonic,byteface/domonic,html-generation,True,byteface/domonic,,{},53.0,53.0,15.0,,3,False,2.0,,,,,
3,fastui,pydantic/FastUI,related-projects,True,pydantic/fastui,,{},2.0,2.0,32.0,,1,False,1.0,,,,,
4,Why Kotlin Is The Best Language (to use with htmx) - YouTube,,others,,,,https://www.youtube.com/watch?v=zJNkIJCQohU,,,,,0,True,,True,,,,
5,lxml,lxml/lxml,html-generation,,,,{},620917.0,620917.0,181.0,,11,False,1.0,,,,,
6,wtforms,pallets-eco/wtforms,html-form-generation,,,,{},259764.0,259764.0,176.0,,10,False,1.0,,,,,
7,MarkupPy,tylerbakke/MarkupPy,html-generation,,,,{},89198.0,89198.0,6.0,,8,False,1.0,,,,,
8,htbuilder,tvst/htbuilder,html-generation,,,,{},5324.0,5324.0,4.0,,6,False,1.0,,,,,
9,yattag,leforestier/yattag,html-generation,,,,{},2159.0,2159.0,13.0,,5,False,1.0,,,,,
10,deform,Pylons/deform,html-form-generation,,,,{},854.0,854.0,104.0,,5,False,3.0,,,,,
11,html5tagger,sanic-org/html5tagger,html-generation,,,,{},764.0,764.0,3.0,,4,False,2.0,,,,,
12,hyperscript,vchan/hyperscript,html-generation,,,,{},79.0,79.0,,,3,False,2.0,,,,,
13,pyhtml,cenkalti/pyhtml,html-generation,,,,{},86.0,86.0,6.0,,3,False,2.0,,,,,
14,TemPy,Hrabal/TemPy,html-generation,,,,{},12.0,12.0,41.0,,3,False,2.0,,,,,
15,sierra,BrainStormYourWayIn/sierra,html-generation,,,,{},54.0,54.0,3.0,,3,False,2.0,,,,,
16,htmlBuilder,jaimevp54/htmlBuilder,html-generation,,,,{},66.0,66.0,,,3,False,2.0,,,,,
17,htpy,pelme/htpy,html-generation,,,,{},109.0,109.0,17.0,,3,False,2.0,,,,,
18,pyxl4,pyxl4/pyxl4,html-generation,,,,{},6.0,6.0,48.0,,2,False,2.0,,,,,
19,python-htmlgen,srittau/python-htmlgen,html-generation,,,,{},30.0,30.0,3.0,,2,False,2.0,,,,,
20,hyperpython,ejplatform/hyperpython,html-generation,,,,{},23.0,23.0,,,2,False,2.0,,,,,
21,fast_html,pcarbonn/fast_html,html-generation,,,,{},10.0,10.0,5.0,,2,False,2.0,,,,,
22,auditorium,apiad/auditorium,html-generation,,,,{},55.0,55.0,2.0,,2,False,2.0,,,,,
23,wdom,miyakogi/wdom,html-generation,,,,{},26.0,26.0,,,2,False,2.0,,,,,
24,enaml-web,codelv/enaml-web,html-generation,,,,{},14.0,14.0,6.0,,2,False,2.0,,,,,
25,ludic,paveldedik/ludic,html-generation,,,,{},15.0,15.0,10.0,,2,False,2.0,,,,,
26,mohtml,koaning/mohtml,html-generation,,,,{},12.0,12.0,3.0,,2,False,2.0,,,,,
27,pyxl,dropbox/pyxl,html-generation,,,,{},,,48.0,,1,False,3.0,,,,,
28,cottonmouth,nosamanuel/cottonmouth,html-generation,,,,{},6.0,6.0,,,1,False,3.0,,,,,
29,htmltree,Michael-F-Ellis/htmltree,html-generation,,,,{},9.0,9.0,3.0,,1,False,3.0,,,,,
30,flask-htmlbuilder,quokkaproject/flask-htmlbuilder,html-generation,,,,{},26.0,26.0,2.0,,1,False,3.0,,,,,
31,htmgem,ClimenteA/htmgem,html-generation,,,,{},7.0,7.0,,,1,False,3.0,,,,,
32,domify,Parnassius/domify,html-generation,,,,{},7.0,7.0,5.0,,1,False,3.0,,,,,
33,htmltag,LiftoffSoftware/htmltag,html-generation,,,,{},12.0,12.0,2.0,,1,False,3.0,,,,,
34,tagz,mosquito/tagz,html-generation,,,,{},6.0,6.0,,,1,False,3.0,,,,,
35,INUI,MohammadrezaAmani/INUI,html-generation,,,,{},4.0,4.0,,,1,False,3.0,,,,,
36,Rattlepy,frodo821/Rattlepy,html-generation,,,,{},4.0,4.0,,,1,False,3.0,,,,,
37,liku,rorre/liku,html-generation,,,,{},4.0,4.0,,,1,False,3.0,,,,,
38,jinjax-ui,jpsca/jinjax-ui,html-generation,,,,{},4.0,4.0,,,1,False,3.0,,,,,
39,markyp-html,volfpeter/markyp-html,html-generation,,volfpeter/markyp,,{},16.0,16.0,2.0,,1,False,3.0,,,,,
40,markyp-bootstrap4,volfpeter/markyp-bootstrap4,html-generation,,volfpeter/markyp,,{},8.0,8.0,3.0,,1,False,3.0,,,,,
41,phlex,lxndrdagreat/phlex,html-generation,,,,{},4.0,4.0,,,1,False,3.0,,,,,
42,css-generator,,related-projects,,,,,,,,,1,False,1.0,,css-generator,https://pypi.org/project/css-generator,21.0,21.0
43,PyHTMLWriter,rohitgirdhar/PyHTMLWriter,html-generation,,,,{},,,4.0,,0,False,,,,,,
44,pyplater,Unviray/pyplater,html-generation,,,,{},2.0,2.0,4.0,,0,False,,,,,,
45,pytagtree,Strovsk/pytagtree,html-generation,,,,{},2.0,2.0,,,0,False,,,,,,
46,pyHTML5builder,skitschy/pyHTML5builder,html-generation,,,,{},2.0,2.0,,,0,False,,,,,,
47,htmlgenerator,basxsoftwareassociation/htmlgenerator,html-generation,,,,{},,,3.0,,0,False,,,,,,
48,SliqueHTML,ctoscano/SliqueHTML,html-generation,,,,{},,,,,0,False,,,,,,
49,pyhead,CheeseCake87/pyhead,html-generation,,,,{},,,,,0,False,,,,,,
50,uidom,bitplorer/uidom,html-generation,,,,{},2.0,2.0,,,0,False,,,,,,
51,pdoo,tlonny/pdoo,html-generation,,,,{},,,,,0,False,,,,,,
52,lys,mdamien/lys,html-generation,,,,{},5.0,5.0,2.0,,0,False,,,,,,
53,hype-html,scrussell24/hype-html,html-generation,,,,{},,,,,0,False,,,,,,
54,simple_html,keithasaurus/simple_html,html-generation,,,,{},5.0,5.0,2.0,,0,False,,,,,,
55,markpy,butvinm/markpy,html-generation,,,,{},2.0,2.0,,,0,False,,,,,,
56,doctorOb/dompy,doctorOb/dompy,html-generation,,,,{},,,,,0,False,,,,,,
57,Anikeshpatel/dompy,Anikeshpatel/dompy,html-generation,,,,{},,,,,0,False,,,,,,
58,html5ever-python,SimonSapin/html5ever-python,html-generation,,,,{},,,,,0,False,,,,,,
59,thedom,timothycrosley/thedom,html-generation,,,,{},,,4.0,,0,False,,,,,,
60,dominter,takd4com/dominter,html-generation,,,,{},,,,,0,False,,,,,,
61,PythonBoostrapWebBuilder,MassiminoilTrace/PythonBoostrapWebBuilder,html-generation,,,,{},,,,,0,False,,,,,,
62,QuykHtml,mwd1993/QuykHtml,html-generation,,,,{},,,,,0,False,,,,,,
63,JS-templater-python,marcuwynu23/JS-templater-python,html-generation,,,,{},,,,,0,False,,,,,,
64,Python-HTML-Parser,wangxl1998/Python-HTML-Parser,html-generation,,,,{},,,,,0,False,,,,,,
65,bootstrap_wrapper,m-housh/bootstrap_wrapper,html-generation,,,,{},,,,,0,False,,,,,,
66,blitz-forms,BlitzJB/blitz-forms,html-form-generation,,,,{},,,,,0,False,,,,,,
67,awesome-python-htmx,PyHAT-stack/awesome-python-htmx,related-projects,,,,{},,,15.0,,0,False,,,,,,
68,liveviews,liveviews/liveviews,related-projects,,,,{},,,18.0,,0,False,,,,,,
69,pure-python-web-development,metaperl/pure-python-web-development,related-projects,,,,{},,,4.0,,0,False,,,,,,
70,HTML + HTMX frontend - AKA Jinja frontend,,related-projects,,pydantic/fastui,,,,,,,0,False,,,,,,
71,ezcron,byteface/ezcron,related-projects,,byteface/domonic,,{},,,,,0,False,,,,,,
72,python-hiccup,DavidVujic/python-hiccup,html-generation,,,,{},,,,,0,False,,,,,,
73,python-tinyhtml,niklasf/python-tinyhtml,html-generation,,,,{},,,2.0,,-1,False,3.0,,,,,
74,html_generators,quadrant-newmedia/html_generators,html-generation,,,,{},,,2.0,,-1,False,3.0,,,,,
75,htmxido,maxpert/htmxido,html-generation,,,,{},2.0,2.0,2.0,,-1,False,3.0,,,,,
76,rusty-tags,ndendic/rustyTags,html-generation,,,,{},,,2.0,,-1,False,3.0,,,,,
77,reforms,boardpack/reforms,html-form-generation,,,,{},,,2.0,,-1,False,3.0,,,,,
78,bottle-dominate,drlatech/bottle-dominate,related-projects,,knio/dominate,,{},,,2.0,,-1,False,3.0,,,,,
